FU,Abbrev,Latitude,Longitude,Region
Acre,AC,-9.0238,-70.8110,Norte
Alagoas,AL,-9.5713,-36.7820,Nordeste
Amapá,AP,0.9020,-52.0032,Norte
Amazonas,AM,-3.4168,-65.8561,Norte
Bahia,BA,-12.5797,-41.7007,Nordeste
Ceará,CE,-5.4984,-39.3206,Nordeste
Distrito Federal,DF,-15.7998,-47.8645,Centro-Oeste
Espírito Santo,ES,-19.1830,-40.3089,Sudeste
Goiás,GO,-15.8270,-49.8362,Centro-Oeste
Maranhão,MA,-4.9609,-45.2744,Nordeste
Mato Grosso,MT,-12.6819,-56.9211,Centro-Oeste
Mato Grosso do Sul,MS,-20.7722,-54.7852,Centro-Oeste
Minas Gerais,MG,-18.5122,-44.5550,Sudeste
Pará,PA,-3.4168,-52.3340,Norte
Paraíba,PB,-7.2391,-36.7819,Nordeste
Paraná,PR,-24.0845,-51.0154,Sul
Pernambuco,PE,-8.8137,-36.9541,Nordeste
Piauí,PI,-7.7183,-42.7289,Nordeste
Rio de Janeiro,RJ,-22.2750,-42.4194,Sudeste
Rio Grande do Norte,RN,-5.4026,-36.9541,Nordeste
Rio Grande do Sul,RS,-30.0346,-53.0510,Sul
Rondônia,RO,-10.8256,-63.2994,Norte
Roraima,RR,2.7376,-61.3548,Norte
Santa Catarina,SC,-27.2423,-50.2189,Sul
São Paulo,SP,-22.1907,-48.7897,Sudeste
Sergipe,SE,-10.5741,-37.3857,Nordeste
Tocantins,TO,-10.1753,-48.2982,Norte
Brasil,Brasil,-14.2350,-51.9253,Brasil